Training: 2025-04-15 12:00:16,585-Speed 62.81 samples/sec   Loss 1.2642   LearningRate 0.000997   Epoch: 0   Global Step: 760   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-15 12:00:36,890-Speed 63.04 samples/sec   Loss 1.4018   LearningRate 0.000997   Epoch: 0   Global Step: 770   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-15 12:00:57,270-Speed 62.81 samples/sec   Loss 1.2559   LearningRate 0.000997   Epoch: 0   Global Step: 780   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-15 12:01:17,647-Speed 62.82 samples/sec   Loss 1.0206   LearningRate 0.000997   Epoch: 0   Global Step: 790   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-15 12:01:38,557-Speed 61.22 samples/sec   Loss 1.3466   LearningRate 0.000997   Epoch: 0   Global Step: 800   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-15 12:01:59,124-Speed 62.24 samples/sec   Loss 1.2331   LearningRate 0.000997   Epoch: 0   Global Step: 810   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-15 12:02:19,510-Speed 62.79 samples/sec   Loss 0.9801   LearningRate 0.000997   Epoch: 0   Global Step: 820   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-15 12:02:39,949-Speed 62.63 samples/sec   Loss 0.9782   LearningRate 0.000997   Epoch: 0   Global Step: 830   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-15 12:03:00,681-Speed 61.74 samples/sec   Loss 1.1197   LearningRate 0.000997   Epoch: 0   Global Step: 840   Fp16 Grad Scale: 131072   Required: 164 hours
Training: 2025-04-15 12:03:21,153-Speed 62.52 samples/sec   Loss 1.1268   LearningRate 0.000997   Epoch: 0   Global Step: 850   Fp16 Grad Scale: 131072   Required: 164 hours
Training: 2025-04-15 12:03:41,823-Speed 61.93 samples/sec   Loss 1.0808   LearningRate 0.000997   Epoch: 0   Global Step: 860   Fp16 Grad Scale: 131072   Required: 164 hours
Training: 2025-04-15 12:04:02,288-Speed 62.55 samples/sec   Loss 1.1781   LearningRate 0.000997   Epoch: 0   Global Step: 870   Fp16 Grad Scale: 131072   Required: 164 hours
Training: 2025-04-15 12:04:24,534-Speed 57.54 samples/sec   Loss 1.0689   LearningRate 0.000997   Epoch: 0   Global Step: 880   Fp16 Grad Scale: 131072   Required: 164 hours
Training: 2025-04-15 12:04:45,871-Speed 59.99 samples/sec   Loss 1.0311   LearningRate 0.000997   Epoch: 0   Global Step: 890   Fp16 Grad Scale: 131072   Required: 164 hours
Training: 2025-04-15 12:05:06,395-Speed 62.37 samples/sec   Loss 1.0039   LearningRate 0.000997   Epoch: 0   Global Step: 900   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-15 12:05:27,041-Speed 62.00 samples/sec   Loss 1.0633   LearningRate 0.000997   Epoch: 0   Global Step: 910   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-15 12:05:47,758-Speed 61.79 samples/sec   Loss 0.9625   LearningRate 0.000997   Epoch: 0   Global Step: 920   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-15 12:06:08,315-Speed 62.27 samples/sec   Loss 0.9658   LearningRate 0.000997   Epoch: 0   Global Step: 930   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-15 12:06:28,975-Speed 61.96 samples/sec   Loss 0.8903   LearningRate 0.000997   Epoch: 0   Global Step: 940   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-15 12:06:49,545-Speed 62.23 samples/sec   Loss 1.2183   LearningRate 0.000997   Epoch: 0   Global Step: 950   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-15 12:07:09,912-Speed 62.85 samples/sec   Loss 0.8892   LearningRate 0.000997   Epoch: 0   Global Step: 960   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-15 12:07:30,349-Speed 62.63 samples/sec   Loss 0.9053   LearningRate 0.000997   Epoch: 0   Global Step: 970   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-15 12:07:51,008-Speed 61.96 samples/sec   Loss 0.9116   LearningRate 0.000997   Epoch: 0   Global Step: 980   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-15 12:08:13,906-Speed 55.90 samples/sec   Loss 0.9103   LearningRate 0.000997   Epoch: 0   Global Step: 990   Fp16 Grad Scale: 65536   Required: 164 hours
Training: 2025-04-15 12:08:35,144-Speed 60.27 samples/sec   Loss 0.9581   LearningRate 0.000996   Epoch: 0   Global Step: 1000   Fp16 Grad Scale: 131072   Required: 164 hours
Training: 2025-04-15 12:08:56,161-Speed 60.91 samples/sec   Loss 0.9292   LearningRate 0.000996   Epoch: 0   Global Step: 1010   Fp16 Grad Scale: 131072   Required: 164 hours
Training: 2025-04-15 12:09:17,043-Speed 61.30 samples/sec   Loss 0.9941   LearningRate 0.000996   Epoch: 0   Global Step: 1020   Fp16 Grad Scale: 131072   Required: 164 hours
Training: 2025-04-15 12:09:39,597-Speed 56.75 samples/sec   Loss 0.8264   LearningRate 0.000996   Epoch: 0   Global Step: 1030   Fp16 Grad Scale: 131072   Required: 164 hours
Training: 2025-04-15 12:10:00,254-Speed 61.97 samples/sec   Loss 0.8156   LearningRate 0.000996   Epoch: 0   Global Step: 1040   Fp16 Grad Scale: 131072   Required: 164 hours
Training: 2025-04-15 12:10:21,415-Speed 60.49 samples/sec   Loss 0.9782   LearningRate 0.000996   Epoch: 0   Global Step: 1050   Fp16 Grad Scale: 131072   Required: 164 hours
Training: 2025-04-15 12:10:43,007-Speed 59.28 samples/sec   Loss 0.8401   LearningRate 0.000996   Epoch: 0   Global Step: 1060   Fp16 Grad Scale: 131072   Required: 164 hours
Training: 2025-04-15 12:11:04,135-Speed 60.59 samples/sec   Loss 0.7923   LearningRate 0.000996   Epoch: 0   Global Step: 1070   Fp16 Grad Scale: 131072   Required: 164 hours
Training: 2025-04-15 12:11:25,300-Speed 60.48 samples/sec   Loss 0.8108   LearningRate 0.000996   Epoch: 0   Global Step: 1080   Fp16 Grad Scale: 65536   Required: 164 hours
