Training: 2025-04-09 13:35:29,161-Speed 45.47 samples/sec   Loss 1.1631   LearningRate 0.000997   Epoch: 0   Global Step: 920   Fp16 Grad Scale: 524288   Required: 262 hours
Training: 2025-04-09 13:35:57,218-Speed 45.62 samples/sec   Loss 1.1204   LearningRate 0.000997   Epoch: 0   Global Step: 930   Fp16 Grad Scale: 524288   Required: 262 hours
Training: 2025-04-09 13:36:25,510-Speed 45.24 samples/sec   Loss 0.9094   LearningRate 0.000997   Epoch: 0   Global Step: 940   Fp16 Grad Scale: 524288   Required: 262 hours
Training: 2025-04-09 13:37:15,185-Speed 46.00 samples/sec   Loss 1.0228   LearningRate 0.000997   Epoch: 0   Global Step: 950   Fp16 Grad Scale: 524288   Required: 263 hours
Training: 2025-04-09 13:37:41,865-Speed 47.98 samples/sec   Loss 1.0300   LearningRate 0.000997   Epoch: 0   Global Step: 960   Fp16 Grad Scale: 524288   Required: 262 hours
Training: 2025-04-09 13:38:10,015-Speed 45.47 samples/sec   Loss 0.9848   LearningRate 0.000997   Epoch: 0   Global Step: 970   Fp16 Grad Scale: 524288   Required: 262 hours
Training: 2025-04-09 13:38:37,723-Speed 46.20 samples/sec   Loss 0.9047   LearningRate 0.000997   Epoch: 0   Global Step: 980   Fp16 Grad Scale: 524288   Required: 262 hours
Training: 2025-04-09 13:39:05,070-Speed 46.81 samples/sec   Loss 0.7819   LearningRate 0.000997   Epoch: 0   Global Step: 990   Fp16 Grad Scale: 524288   Required: 261 hours
Training: 2025-04-09 13:39:33,319-Speed 45.31 samples/sec   Loss 0.8934   LearningRate 0.000996   Epoch: 0   Global Step: 1000   Fp16 Grad Scale: 524288   Required: 261 hours
Training: 2025-04-09 13:40:00,137-Speed 47.73 samples/sec   Loss 0.8674   LearningRate 0.000996   Epoch: 0   Global Step: 1010   Fp16 Grad Scale: 524288   Required: 260 hours
Training: 2025-04-09 13:40:27,773-Speed 46.32 samples/sec   Loss 1.0988   LearningRate 0.000996   Epoch: 0   Global Step: 1020   Fp16 Grad Scale: 524288   Required: 260 hours
Training: 2025-04-09 13:40:54,701-Speed 47.54 samples/sec   Loss 0.6680   LearningRate 0.000996   Epoch: 0   Global Step: 1030   Fp16 Grad Scale: 524288   Required: 259 hours
Training: 2025-04-09 13:41:20,805-Speed 49.04 samples/sec   Loss 0.8444   LearningRate 0.000996   Epoch: 0   Global Step: 1040   Fp16 Grad Scale: 524288   Required: 259 hours
Training: 2025-04-09 13:41:48,519-Speed 46.19 samples/sec   Loss 0.8584   LearningRate 0.000996   Epoch: 0   Global Step: 1050   Fp16 Grad Scale: 524288   Required: 258 hours
Training: 2025-04-09 13:42:16,933-Speed 48.16 samples/sec   Loss 0.8117   LearningRate 0.000996   Epoch: 0   Global Step: 1060   Fp16 Grad Scale: 524288   Required: 258 hours
Training: 2025-04-09 13:42:42,997-Speed 49.11 samples/sec   Loss 0.7998   LearningRate 0.000996   Epoch: 0   Global Step: 1070   Fp16 Grad Scale: 1048576   Required: 258 hours
Training: 2025-04-09 13:43:08,842-Speed 49.53 samples/sec   Loss 0.9183   LearningRate 0.000996   Epoch: 0   Global Step: 1080   Fp16 Grad Scale: 1048576   Required: 257 hours
Training: 2025-04-09 13:43:35,548-Speed 47.93 samples/sec   Loss 0.8146   LearningRate 0.000996   Epoch: 0   Global Step: 1090   Fp16 Grad Scale: 1048576   Required: 257 hours
Training: 2025-04-09 13:44:01,878-Speed 48.62 samples/sec   Loss 0.7567   LearningRate 0.000996   Epoch: 0   Global Step: 1100   Fp16 Grad Scale: 1048576   Required: 256 hours
Training: 2025-04-09 13:44:28,466-Speed 48.14 samples/sec   Loss 0.7104   LearningRate 0.000996   Epoch: 0   Global Step: 1110   Fp16 Grad Scale: 1048576   Required: 256 hours
Training: 2025-04-09 13:44:54,384-Speed 49.39 samples/sec   Loss 0.6808   LearningRate 0.000996   Epoch: 0   Global Step: 1120   Fp16 Grad Scale: 1048576   Required: 255 hours
Training: 2025-04-09 13:45:20,800-Speed 48.46 samples/sec   Loss 0.6950   LearningRate 0.000996   Epoch: 0   Global Step: 1130   Fp16 Grad Scale: 1048576   Required: 255 hours
