Training: 2025-04-09 13:26:18,340-Speed 43.58 samples/sec   Loss 1.3650   LearningRate 0.000998   Epoch: 0   Global Step: 670   Fp16 Grad Scale: 65536   Required: 274 hours
Training: 2025-04-09 13:26:49,916-Speed 40.54 samples/sec   Loss 1.2596   LearningRate 0.000998   Epoch: 0   Global Step: 680   Fp16 Grad Scale: 65536   Required: 274 hours
Training: 2025-04-09 13:27:21,440-Speed 40.60 samples/sec   Loss 1.1267   LearningRate 0.000998   Epoch: 0   Global Step: 690   Fp16 Grad Scale: 65536   Required: 273 hours
Training: 2025-04-09 13:27:52,228-Speed 41.58 samples/sec   Loss 1.3214   LearningRate 0.000998   Epoch: 0   Global Step: 700   Fp16 Grad Scale: 65536   Required: 273 hours
Training: 2025-04-09 13:28:22,709-Speed 41.99 samples/sec   Loss 1.2668   LearningRate 0.000998   Epoch: 0   Global Step: 710   Fp16 Grad Scale: 65536   Required: 272 hours
Training: 2025-04-09 13:28:52,602-Speed 42.82 samples/sec   Loss 1.2363   LearningRate 0.000997   Epoch: 0   Global Step: 720   Fp16 Grad Scale: 65536   Required: 272 hours
Training: 2025-04-09 13:29:23,913-Speed 40.88 samples/sec   Loss 1.1930   LearningRate 0.000997   Epoch: 0   Global Step: 730   Fp16 Grad Scale: 65536   Required: 271 hours
Training: 2025-04-09 13:29:53,960-Speed 42.60 samples/sec   Loss 1.4456   LearningRate 0.000997   Epoch: 0   Global Step: 740   Fp16 Grad Scale: 65536   Required: 271 hours
Training: 2025-04-09 13:30:23,220-Speed 43.75 samples/sec   Loss 1.4943   LearningRate 0.000997   Epoch: 0   Global Step: 750   Fp16 Grad Scale: 131072   Required: 270 hours
Training: 2025-04-09 13:30:52,146-Speed 44.25 samples/sec   Loss 1.1789   LearningRate 0.000997   Epoch: 0   Global Step: 760   Fp16 Grad Scale: 65536   Required: 270 hours
Training: 2025-04-09 13:31:20,919-Speed 44.49 samples/sec   Loss 0.9769   LearningRate 0.000997   Epoch: 0   Global Step: 770   Fp16 Grad Scale: 65536   Required: 269 hours
Training: 2025-04-09 13:31:49,948-Speed 44.09 samples/sec   Loss 0.9779   LearningRate 0.000997   Epoch: 0   Global Step: 780   Fp16 Grad Scale: 65536   Required: 269 hours
Training: 2025-04-09 13:32:19,064-Speed 43.96 samples/sec   Loss 1.2005   LearningRate 0.000997   Epoch: 0   Global Step: 790   Fp16 Grad Scale: 65536   Required: 268 hours
Training: 2025-04-09 13:32:47,684-Speed 44.72 samples/sec   Loss 1.1115   LearningRate 0.000997   Epoch: 0   Global Step: 800   Fp16 Grad Scale: 65536   Required: 268 hours
Training: 2025-04-09 13:33:16,564-Speed 44.32 samples/sec   Loss 1.0873   LearningRate 0.000997   Epoch: 0   Global Step: 810   Fp16 Grad Scale: 65536   Required: 267 hours
Training: 2025-04-09 13:33:45,301-Speed 44.54 samples/sec   Loss 0.9806   LearningRate 0.000997   Epoch: 0   Global Step: 820   Fp16 Grad Scale: 65536   Required: 267 hours
Training: 2025-04-09 13:34:13,800-Speed 44.91 samples/sec   Loss 0.9782   LearningRate 0.000997   Epoch: 0   Global Step: 830   Fp16 Grad Scale: 65536   Required: 266 hours
Training: 2025-04-09 13:34:43,068-Speed 43.74 samples/sec   Loss 1.0663   LearningRate 0.000997   Epoch: 0   Global Step: 840   Fp16 Grad Scale: 65536   Required: 266 hours
Training: 2025-04-09 13:35:11,025-Speed 45.78 samples/sec   Loss 1.0479   LearningRate 0.000997   Epoch: 0   Global Step: 850   Fp16 Grad Scale: 65536   Required: 265 hours
Training: 2025-04-09 13:35:39,524-Speed 44.92 samples/sec   Loss 0.9952   LearningRate 0.000997   Epoch: 0   Global Step: 860   Fp16 Grad Scale: 131072   Required: 265 hours
Training: 2025-04-09 13:36:07,929-Speed 45.06 samples/sec   Loss 0.9595   LearningRate 0.000997   Epoch: 0   Global Step: 870   Fp16 Grad Scale: 131072   Required: 264 hours
Training: 2025-04-09 13:36:37,732-Speed 42.95 samples/sec   Loss 0.8936   LearningRate 0.000997   Epoch: 0   Global Step: 880   Fp16 Grad Scale: 131072   Required: 264 hours
Training: 2025-04-09 13:37:15,758-Speed 45.12 samples/sec   Loss 0.7674   LearningRate 0.000997   Epoch: 0   Global Step: 890   Fp16 Grad Scale: 65536   Required: 264 hours
Training: 2025-04-09 13:37:44,917-Speed 43.90 samples/sec   Loss 0.9162   LearningRate 0.000997   Epoch: 0   Global Step: 900   Fp16 Grad Scale: 65536   Required: 264 hours
Training: 2025-04-09 13:38:13,312-Speed 45.08 samples/sec   Loss 0.7934   LearningRate 0.000997   Epoch: 0   Global Step: 910   Fp16 Grad Scale: 65536   Required: 264 hours
Training: 2025-04-09 13:38:41,354-Speed 45.65 samples/sec   Loss 0.6150   LearningRate 0.000997   Epoch: 0   Global Step: 920   Fp16 Grad Scale: 65536   Required: 263 hours
Training: 2025-04-09 13:39:08,389-Speed 47.35 samples/sec   Loss 0.7903   LearningRate 0.000997   Epoch: 0   Global Step: 930   Fp16 Grad Scale: 65536   Required: 263 hours
Training: 2025-04-09 13:39:38,037-Speed 43.17 samples/sec   Loss 0.8146   LearningRate 0.000997   Epoch: 0   Global Step: 940   Fp16 Grad Scale: 65536   Required: 262 hours
Training: 2025-04-09 13:40:05,921-Speed 45.91 samples/sec   Loss 0.6437   LearningRate 0.000997   Epoch: 0   Global Step: 950   Fp16 Grad Scale: 65536   Required: 262 hours
