Training: 2025-04-02 12:24:30,979-Speed 89.20 samples/sec   Loss 36.2632   LearningRate 0.000998   Epoch: 0   Global Step: 440   Fp16 Grad Scale: 16384   Required: 119 hours
Training: 2025-04-02 12:24:45,408-Speed 88.72 samples/sec   Loss 36.3525   LearningRate 0.000998   Epoch: 0   Global Step: 450   Fp16 Grad Scale: 16384   Required: 119 hours
Training: 2025-04-02 12:24:59,842-Speed 88.68 samples/sec   Loss 36.0631   LearningRate 0.000998   Epoch: 0   Global Step: 460   Fp16 Grad Scale: 16384   Required: 119 hours
Training: 2025-04-02 12:25:14,412-Speed 87.85 samples/sec   Loss 35.4695   LearningRate 0.000998   Epoch: 0   Global Step: 470   Fp16 Grad Scale: 16384   Required: 119 hours
Training: 2025-04-02 12:25:28,750-Speed 89.28 samples/sec   Loss 35.7834   LearningRate 0.000998   Epoch: 0   Global Step: 480   Fp16 Grad Scale: 16384   Required: 119 hours
Training: 2025-04-02 12:25:43,325-Speed 87.82 samples/sec   Loss 35.9073   LearningRate 0.000998   Epoch: 0   Global Step: 490   Fp16 Grad Scale: 16384   Required: 118 hours
Training: 2025-04-02 12:25:57,751-Speed 88.73 samples/sec   Loss 35.6212   LearningRate 0.000998   Epoch: 0   Global Step: 500   Fp16 Grad Scale: 16384   Required: 118 hours
Training: 2025-04-02 12:26:12,168-Speed 88.79 samples/sec   Loss 35.2307   LearningRate 0.000998   Epoch: 0   Global Step: 510   Fp16 Grad Scale: 16384   Required: 118 hours
Training: 2025-04-02 12:26:26,584-Speed 88.79 samples/sec   Loss 35.5914   LearningRate 0.000998   Epoch: 0   Global Step: 520   Fp16 Grad Scale: 16384   Required: 118 hours
Training: 2025-04-02 12:26:40,978-Speed 88.93 samples/sec   Loss 35.0345   LearningRate 0.000998   Epoch: 0   Global Step: 530   Fp16 Grad Scale: 16384   Required: 118 hours
Training: 2025-04-02 12:26:55,212-Speed 89.93 samples/sec   Loss 35.1939   LearningRate 0.000998   Epoch: 0   Global Step: 540   Fp16 Grad Scale: 16384   Required: 118 hours
Training: 2025-04-02 12:27:09,671-Speed 88.53 samples/sec   Loss 34.6620   LearningRate 0.000998   Epoch: 0   Global Step: 550   Fp16 Grad Scale: 16384   Required: 118 hours
Training: 2025-04-02 12:27:25,932-Speed 78.72 samples/sec   Loss 34.7937   LearningRate 0.000998   Epoch: 0   Global Step: 560   Fp16 Grad Scale: 16384   Required: 118 hours
Training: 2025-04-02 12:27:40,270-Speed 89.28 samples/sec   Loss 34.4368   LearningRate 0.000998   Epoch: 0   Global Step: 570   Fp16 Grad Scale: 16384   Required: 118 hours
Training: 2025-04-02 12:27:54,689-Speed 88.77 samples/sec   Loss 34.5009   LearningRate 0.000998   Epoch: 0   Global Step: 580   Fp16 Grad Scale: 16384   Required: 118 hours
