Training: 2025-04-02 12:35:31,777-Speed 63.46 samples/sec   Loss 2.4902   LearningRate 0.000998   Epoch: 0   Global Step: 690   Fp16 Grad Scale: 131072   Required: 162 hours
Training: 2025-04-02 12:35:52,035-Speed 63.19 samples/sec   Loss 3.0384   LearningRate 0.000998   Epoch: 0   Global Step: 700   Fp16 Grad Scale: 131072   Required: 162 hours
Training: 2025-04-02 12:36:12,271-Speed 63.25 samples/sec   Loss 2.6922   LearningRate 0.000998   Epoch: 0   Global Step: 710   Fp16 Grad Scale: 131072   Required: 162 hours
Training: 2025-04-02 12:36:32,526-Speed 63.20 samples/sec   Loss 2.9695   LearningRate 0.000997   Epoch: 0   Global Step: 720   Fp16 Grad Scale: 131072   Required: 162 hours
Training: 2025-04-02 12:36:52,736-Speed 63.34 samples/sec   Loss 2.7797   LearningRate 0.000997   Epoch: 0   Global Step: 730   Fp16 Grad Scale: 131072   Required: 162 hours
Training: 2025-04-02 12:37:13,014-Speed 63.13 samples/sec   Loss 2.7691   LearningRate 0.000997   Epoch: 0   Global Step: 740   Fp16 Grad Scale: 131072   Required: 162 hours
Training: 2025-04-02 12:37:33,238-Speed 63.29 samples/sec   Loss 2.5783   LearningRate 0.000997   Epoch: 0   Global Step: 750   Fp16 Grad Scale: 131072   Required: 162 hours
Training: 2025-04-02 12:37:53,459-Speed 63.30 samples/sec   Loss 2.6749   LearningRate 0.000997   Epoch: 0   Global Step: 760   Fp16 Grad Scale: 131072   Required: 162 hours
Training: 2025-04-02 12:38:13,708-Speed 63.22 samples/sec   Loss 2.2608   LearningRate 0.000997   Epoch: 0   Global Step: 770   Fp16 Grad Scale: 131072   Required: 162 hours
Training: 2025-04-02 12:38:33,947-Speed 63.25 samples/sec   Loss 2.4573   LearningRate 0.000997   Epoch: 0   Global Step: 780   Fp16 Grad Scale: 131072   Required: 162 hours
Training: 2025-04-02 12:38:54,185-Speed 63.25 samples/sec   Loss 2.3257   LearningRate 0.000997   Epoch: 0   Global Step: 790   Fp16 Grad Scale: 131072   Required: 162 hours
Training: 2025-04-02 12:39:14,356-Speed 63.46 samples/sec   Loss 2.4302   LearningRate 0.000997   Epoch: 0   Global Step: 800   Fp16 Grad Scale: 131072   Required: 162 hours
Training: 2025-04-02 12:39:34,601-Speed 63.23 samples/sec   Loss 2.5443   LearningRate 0.000997   Epoch: 0   Global Step: 810   Fp16 Grad Scale: 131072   Required: 162 hours
Training: 2025-04-02 12:39:56,778-Speed 57.72 samples/sec   Loss 2.4480   LearningRate 0.000997   Epoch: 0   Global Step: 820   Fp16 Grad Scale: 131072   Required: 162 hours
Training: 2025-04-02 12:40:17,038-Speed 63.18 samples/sec   Loss 2.4042   LearningRate 0.000997   Epoch: 0   Global Step: 830   Fp16 Grad Scale: 131072   Required: 162 hours
Training: 2025-04-02 12:40:37,333-Speed 63.07 samples/sec   Loss 2.4109   LearningRate 0.000997   Epoch: 0   Global Step: 840   Fp16 Grad Scale: 131072   Required: 162 hours
Training: 2025-04-02 12:40:57,585-Speed 63.20 samples/sec   Loss 2.0644   LearningRate 0.000997   Epoch: 0   Global Step: 850   Fp16 Grad Scale: 131072   Required: 162 hours
Training: 2025-04-02 12:41:17,798-Speed 63.33 samples/sec   Loss 2.2265   LearningRate 0.000997   Epoch: 0   Global Step: 860   Fp16 Grad Scale: 262144   Required: 162 hours
Training: 2025-04-02 12:41:38,030-Speed 63.27 samples/sec   Loss 1.9606   LearningRate 0.000997   Epoch: 0   Global Step: 870   Fp16 Grad Scale: 131072   Required: 162 hours
